Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,    Educational attainment
2010,"Mesa city, Arizona!!Total!!Estimate","47,292",20.40%,26.90%,44.90%,7.70%,"280,903",6.00%,7.30%,28.00%,27.50%,8.80%,15.00%,7.40%,86.70%,22.50%,,22.20%,10.80%,9.20%,4.40%,,"31,165","16,942","26,196","31,249","43,655","61,242",8.50%
2010,"Phoenix city, Arizona!!Total!!Estimate","148,184",23.30%,34.00%,37.90%,4.70%,"897,881",9.30%,9.70%,26.10%,22.80%,7.20%,16.60%,8.30%,81.00%,24.90%,,36.20%,22.20%,12.40%,4.70%,,"32,058","18,374","24,837","32,294","50,441","64,637",8.90%
2010,"Tucson city, Arizona!!Total!!Estimate","78,229",15.40%,26.00%,51.30%,7.30%,"324,394",7.20%,8.60%,24.00%,27.20%,7.80%,15.20%,10.00%,84.20%,25.20%,,31.00%,20.90%,17.00%,6.10%,,"26,845","16,628","22,249","26,727","38,089","45,745",5.80%
2010,"Fresno city, California!!Total!!Estimate","60,911",23.50%,24.50%,47.00%,5.00%,"282,811",14.90%,10.60%,22.70%,23.10%,8.70%,13.90%,6.20%,74.60%,20.10%,,41.10%,23.90%,15.80%,5.50%,,"26,413","14,035","21,675","28,772","45,342","57,999",8.80%
2010,"Los Angeles city, California!!Total!!Estimate","433,064",20.40%,23.80%,45.30%,10.50%,"2,481,239",16.10%,10.00%,19.10%,18.30%,5.80%,20.40%,10.30%,73.90%,30.70%,,30.00%,19.70%,13.60%,7.30%,,"30,072","16,264","23,224","31,582","46,188","65,639",7.30%
2010,"Oakland city, California!!Total!!Estimate","34,889",21.40%,25.80%,41.60%,11.20%,"271,827",11.80%,8.30%,16.90%,20.00%,5.50%,21.50%,15.90%,79.90%,37.40%,,33.20%,24.20%,16.80%,6.40%,,"35,437","16,981","21,465","34,838","47,629","70,456",6.90%
2010,"Sacramento city, California!!Total!!Estimate","51,146",20.50%,26.10%,44.50%,9.00%,"300,055",8.80%,9.50%,20.70%,25.00%,7.80%,18.10%,10.10%,81.70%,28.10%,,30.30%,21.90%,13.10%,6.20%,,"35,155","17,558","26,661","32,634","48,869","62,095",5.10%
2010,"San Diego city, California!!Total!!Estimate","176,827",8.60%,23.70%,55.00%,12.60%,"846,292",6.60%,6.40%,16.40%,22.00%,8.20%,24.10%,16.30%,86.90%,40.30%,,31.40%,18.40%,11.40%,5.20%,,"40,069","17,004","26,068","35,081","52,004","71,934",5.00%
2010,"San Francisco city, California!!Total!!Estimate","77,868",10.10%,20.30%,44.70%,24.90%,"620,010",8.50%,5.60%,14.20%,15.60%,5.30%,31.40%,19.50%,85.90%,50.90%,,20.40%,15.90%,12.40%,6.30%,,"46,987","19,781","26,295","37,522","60,073","80,370",6.70%
2010,"San Jose city, California!!Total!!Estimate","93,275",15.30%,26.00%,48.00%,10.80%,"622,709",9.90%,8.00%,19.00%,19.10%,7.50%,23.20%,13.40%,82.10%,36.60%,,20.30%,13.60%,8.50%,3.40%,,"42,137","21,164","26,374","39,912","65,116","93,238",6.90%
2010,"Denver city, Colorado!!Total!!Estimate","62,522",17.60%,28.10%,33.20%,21.20%,"412,273",7.70%,8.50%,19.70%,18.40%,4.70%,25.40%,15.50%,83.80%,40.90%,,36.10%,21.70%,15.40%,5.60%,,"35,786","16,570","22,658","31,791","46,609","64,497",5.40%
2010,"Washington city, District of Columbia!!Total!!Estimate","86,362",12.10%,20.00%,39.50%,28.40%,"416,824",4.70%,7.90%,20.30%,13.80%,3.20%,23.20%,26.90%,87.40%,50.10%,,29.40%,23.60%,13.00%,6.60%,,"49,512","22,249","31,309","35,530","56,869","77,482",7.10%
2010,"Jacksonville city, Florida!!Total!!Estimate","86,887",15.80%,32.90%,42.90%,8.30%,"540,786",3.80%,8.60%,30.00%,24.70%,9.10%,17.00%,6.90%,87.70%,23.80%,,31.40%,16.40%,9.50%,5.50%,,"32,027","17,329","27,946","31,251","43,444","57,512",8.30%
2010,"Miami city, Florida!!Total!!Estimate","35,170",28.90%,35.30%,28.00%,7.80%,"292,018",19.80%,12.00%,28.50%,9.80%,8.00%,14.10%,7.80%,68.20%,21.90%,,41.60%,29.20%,23.40%,14.70%,,"21,006","13,521","16,278","25,289","40,488","54,102",7.00%
2010,"Orlando city, Florida!!Total!!Estimate","30,253",21.70%,26.70%,41.20%,10.40%,"157,594",3.80%,8.00%,26.40%,21.30%,9.10%,20.60%,10.90%,88.20%,31.50%,,30.00%,21.30%,14.70%,4.00%,,"26,374","14,937","21,248","24,485","41,132","55,773",9.20%
