Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,    Educational attainment
2014,"Mesa city, Arizona!!Total!!Estimate","43,458",17.20%,33.70%,45.00%,4.20%,"305,195",6.60%,6.50%,27.70%,26.80%,8.70%,15.70%,8.00%,86.90%,23.70%,,25.30%,14.30%,9.80%,5.60%,,"32,221","20,512","28,697","33,817","45,613","57,544",14.90%
2014,"Phoenix city, Arizona!!Total!!Estimate","155,166",19.90%,36.00%,37.50%,6.60%,"968,970",10.40%,8.50%,23.10%,22.60%,8.00%,17.50%,9.90%,81.10%,27.40%,,38.10%,21.60%,14.60%,5.50%,,"33,836","20,387","26,648","34,613","47,795","65,703",8.60%
2014,"Tucson city, Arizona!!Total!!Estimate","87,409",12.30%,28.40%,52.60%,6.70%,"327,657",6.80%,8.70%,23.90%,25.90%,9.00%,14.90%,10.70%,84.50%,25.60%,,35.10%,20.40%,16.10%,11.30%,,"27,366","17,080","24,714","28,818","34,819","41,967",7.10%
2014,"Fresno city, California!!Total!!Estimate","61,696",18.60%,26.00%,48.70%,6.70%,"305,625",13.20%,12.20%,22.40%,23.10%,8.40%,14.00%,6.70%,74.60%,20.80%,,41.70%,26.40%,18.60%,5.90%,,"27,975","16,312","24,371","29,216","48,419","66,460",7.90%
2014,"Los Angeles city, California!!Total!!Estimate","431,909",15.40%,24.50%,48.90%,11.20%,"2,639,991",14.60%,9.30%,19.70%,18.10%,6.00%,21.20%,11.00%,76.10%,32.30%,,31.30%,21.20%,14.10%,8.00%,,"31,126","17,368","23,973","31,570","49,337","70,158",10.60%
2014,"Oakland city, California!!Total!!Estimate","34,864",21.10%,20.80%,45.20%,12.90%,"291,686",11.20%,9.00%,15.10%,19.30%,6.20%,21.70%,17.60%,79.80%,39.30%,,34.10%,18.90%,17.10%,7.10%,,"36,640","18,329","23,965","32,006","51,528","63,324",9.10%
2014,"Sacramento city, California!!Total!!Estimate","51,519",15.50%,26.30%,49.50%,8.70%,"315,080",8.50%,8.30%,21.20%,23.40%,8.90%,18.40%,11.30%,83.20%,29.70%,,34.20%,23.70%,16.60%,8.80%,,"35,353","17,760","26,211","32,108","51,781","72,564",7.90%
2014,"San Diego city, California!!Total!!Estimate","164,959",8.50%,27.70%,49.20%,14.60%,"933,893",6.40%,5.70%,16.10%,20.10%,7.30%,27.10%,17.30%,87.90%,44.40%,,30.70%,15.90%,11.00%,5.90%,,"41,622","18,957","27,414","36,339","54,724","75,209",8.80%
2014,"San Francisco city, California!!Total!!Estimate","66,128",6.40%,18.10%,45.80%,29.70%,"671,896",7.50%,4.40%,12.70%,15.10%,6.00%,32.90%,21.40%,88.10%,54.20%,,22.80%,15.80%,12.80%,5.50%,,"52,017","21,521","24,641","36,038","68,439","85,591",9.30%
2014,"San Jose city, California!!Total!!Estimate","95,945",10.20%,24.60%,50.20%,15.00%,"684,783",9.70%,7.20%,18.40%,17.50%,7.40%,24.20%,15.50%,83.10%,39.70%,,19.00%,12.10%,6.70%,3.50%,,"44,916","23,229","30,731","38,896","68,737","100,730",10.40%
