Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,    Educational attainment
2011,"Mesa city, Arizona!!Total!!Estimate","44,758",17.40%,31.50%,44.90%,6.10%,"289,963",5.60%,7.70%,26.20%,28.50%,8.90%,15.10%,8.00%,86.70%,23.10%,,27.00%,14.90%,13.30%,5.70%,,"30,581","17,932","25,687","30,766","41,224","52,552",6.40%
2011,"Phoenix city, Arizona!!Total!!Estimate","156,483",21.20%,36.10%,36.80%,5.90%,"907,409",9.70%,10.30%,23.70%,23.50%,6.80%,17.40%,8.60%,79.90%,26.00%,,36.90%,20.40%,13.20%,5.80%,,"31,766","19,681","26,084","32,286","46,809","59,995",7.30%
2011,"Tucson city, Arizona!!Total!!Estimate","76,511",17.60%,24.00%,51.70%,6.80%,"332,051",6.10%,9.50%,25.00%,27.20%,8.80%,14.40%,9.10%,84.40%,23.50%,,33.00%,22.20%,15.70%,10.50%,,"27,255","17,223","21,037","29,883","33,859","43,581",6.00%
2011,"Fresno city, California!!Total!!Estimate","66,099",21.40%,26.40%,48.50%,3.80%,"286,544",14.80%,11.00%,24.40%,23.90%,6.80%,13.50%,5.60%,74.20%,19.10%,,37.80%,23.20%,17.30%,5.90%,,"28,659","16,616","24,363","29,544","50,363","66,942",7.10%
2011,"Los Angeles city, California!!Total!!Estimate","438,995",18.70%,25.20%,44.50%,11.60%,"2,526,202",15.40%,10.20%,19.80%,17.80%,6.00%,20.40%,10.40%,74.30%,30.80%,,31.30%,19.80%,14.70%,7.80%,,"29,129","16,199","22,699","31,293","46,616","66,337",7.40%
2011,"Oakland city, California!!Total!!Estimate","35,827",18.60%,19.00%,49.90%,12.50%,"277,184",12.30%,7.80%,17.40%,19.20%,5.30%,21.50%,16.40%,79.90%,38.00%,,32.50%,21.10%,17.00%,6.60%,,"35,493","20,100","23,429","31,095","50,938","67,287",4.90%
2011,"Sacramento city, California!!Total!!Estimate","50,767",17.70%,27.80%,46.90%,7.60%,"300,724",10.40%,8.00%,20.10%,24.50%,8.40%,18.10%,10.50%,81.60%,28.60%,,32.20%,23.60%,13.90%,6.10%,,"33,788","16,164","22,444","32,502","53,776","66,753",4.30%
2011,"San Diego city, California!!Total!!Estimate","170,965",9.80%,27.20%,52.00%,11.00%,"866,323",7.50%,6.50%,16.10%,21.50%,7.30%,24.90%,16.20%,86.00%,41.10%,,27.90%,15.20%,11.20%,5.30%,,"40,433","18,191","26,371","35,463","51,517","75,705",5.40%
2011,"San Francisco city, California!!Total!!Estimate","73,125",6.90%,19.20%,49.30%,24.60%,"630,383",8.50%,5.60%,13.50%,15.10%,5.20%,32.10%,20.00%,85.90%,52.10%,,27.00%,15.50%,13.00%,6.00%,,"45,885","19,863","24,614","33,825","60,332","81,000",6.00%
2011,"San Jose city, California!!Total!!Estimate","90,145",13.00%,28.20%,50.00%,8.80%,"644,336",8.90%,7.80%,19.80%,19.30%,7.60%,23.70%,12.90%,83.30%,36.60%,,22.30%,13.50%,9.00%,4.00%,,"42,266","19,716","26,975","40,091","69,601","94,130",7.50%
2011,"Denver city, Colorado!!Total!!Estimate","60,575",16.30%,21.90%,45.30%,16.40%,"425,038",6.30%,7.80%,18.50%,19.00%,5.40%,25.30%,17.70%,85.90%,43.00%,,28.90%,21.90%,16.40%,6.00%,,"36,718","20,697","24,649","32,238","45,219","60,437",4.20%
2011,"Washington city, District of Columbia!!Total!!Estimate","84,255",11.00%,20.50%,45.40%,23.10%,"428,261",5.10%,7.70%,17.70%,14.20%,2.80%,23.30%,29.20%,87.20%,52.50%,,35.60%,22.80%,17.90%,4.20%,,"54,264","24,316","31,692","37,965","61,357","80,936",7.10%
2011,"Jacksonville city, Florida!!Total!!Estimate","86,457",16.90%,30.60%,44.10%,8.40%,"546,183",3.40%,9.00%,30.30%,23.30%,9.50%,16.80%,7.70%,87.60%,24.50%,,29.40%,19.90%,11.80%,3.30%,,"32,621","17,024","26,288","32,389","42,071","60,371",10.60%
2011,"Miami city, Florida!!Total!!Estimate","35,570",25.60%,35.10%,30.80%,8.50%,"295,779",17.10%,13.30%,29.60%,11.70%,6.60%,13.70%,8.00%,69.60%,21.70%,,38.30%,32.00%,20.40%,10.70%,,"21,985","15,109","17,126","25,461","39,126","68,349",5.70%
2011,"Orlando city, Florida!!Total!!Estimate","30,554",14.70%,28.90%,46.60%,9.80%,"159,535",5.20%,7.60%,25.00%,20.50%,10.10%,21.40%,10.10%,87.20%,31.50%,,28.90%,20.10%,13.90%,7.60%,,"27,532","15,458","21,935","26,222","41,143","53,283",6.50%
2011,"Tampa city, Florida!!Total!!Estimate","44,154",12.20%,33.30%,46.30%,8.20%,"226,403",4.90%,9.00%,27.10%,18.20%,8.20%,20.00%,12.60%,86.10%,32.60%,,41.70%,24.30%,17.90%,4.80%,,"32,592","17,238","25,032","27,797","44,514","71,603",5.40%
2011,"Atlanta city, Georgia!!Total!!Estimate","62,721",11.20%,19.00%,56.50%,13.30%,"289,243",3.70%,8.00%,20.60%,16.70%,3.80%,29.30%,17.90%,88.30%,47.20%,,45.70%,28.90%,22.30%,8.00%,,"36,242","19,752","23,217","26,393","50,017","65,737",5.20%
2011,"Chicago city, Illinois!!Total!!Estimate","300,857",18.30%,26.60%,38.70%,16.40%,"1,788,691",9.80%,9.50%,23.70%,18.20%,5.40%,20.60%,12.90%,80.70%,33.50%,,31.20%,23.30%,17.80%,6.60%,,"33,896","19,611","24,589","30,265","50,356","65,592",6.10%
2011,"Indianapolis city (balance), Indiana!!Total!!Estimate","84,668",22.60%,25.40%,40.20%,11.90%,"532,817",5.10%,10.40%,30.50%,21.30%,6.90%,17.00%,8.80%,84.50%,25.80%,,34.20%,17.70%,14.30%,4.30%,,"30,478","16,206","26,093","28,738","41,304","60,478",4.10%
2011,"Wichita city, Kansas!!Total!!Estimate","39,555",20.00%,29.90%,41.50%,8.70%,"243,842",5.30%,7.30%,27.00%,26.30%,5.90%,18.60%,9.60%,87.40%,28.20%,,33.10%,16.80%,8.60%,4.70%,,"31,144","18,591","25,224","31,467","41,101","49,776",3.40%
2011,"New Orleans city, Louisiana!!Total!!Estimate","43,029",19.90%,27.30%,40.30%,12.50%,"240,421",5.10%,11.30%,23.80%,23.70%,3.80%,18.20%,14.20%,83.70%,32.40%,,43.00%,30.40%,20.60%,8.60%,,"30,813","16,550","21,885","25,490","41,880","56,102",4.50%
2011,"Baltimore city, Maryland!!Total!!Estimate","75,665",20.60%,28.60%,40.40%,10.30%,"410,163",5.80%,13.80%,29.20%,19.30%,4.40%,14.90%,12.60%,80.50%,27.50%,,36.40%,22.30%,19.50%,7.90%,,"34,691","18,926","28,397","31,709","46,096","57,462",7.50%
2011,"Boston city, Massachusetts!!Total!!Estimate","115,258",8.10%,16.90%,56.20%,18.80%,"404,910",8.10%,7.90%,21.70%,15.20%,4.40%,23.40%,19.30%,84.00%,42.70%,,34.70%,21.90%,17.50%,8.90%,,"40,416","20,749","27,072","32,883","51,080","64,542",7.80%
2011,"Detroit city, Michigan!!Total!!Estimate","81,984",28.20%,31.30%,36.30%,4.20%,"440,519",6.60%,16.00%,32.90%,25.60%,5.90%,7.90%,5.10%,77.40%,13.00%,,43.40%,36.80%,27.40%,12.50%,,"23,241","16,536","20,238","23,554","36,703","47,144",8.40%
2011,"Minneapolis city, Minnesota!!Total!!Estimate","55,673",9.10%,17.50%,52.80%,20.60%,"254,668",5.50%,6.30%,17.00%,18.40%,6.40%,29.50%,17.00%,88.20%,46.50%,,44.30%,24.30%,19.50%,6.30%,,"36,270","17,494","23,694","30,151","42,447","61,819",3.70%
2011,"Newark city, New Jersey!!Total!!Estimate","32,790",21.90%,35.70%,36.60%,5.80%,"172,551",16.30%,13.70%,33.90%,18.60%,4.60%,9.00%,4.00%,70.10%,13.00%,,32.60%,28.00%,19.00%,14.90%,,"25,202","19,273","22,848","28,160","34,638","49,254",8.90%
2011,"Albuquerque city, New Mexico!!Total!!Estimate","57,325",18.80%,23.70%,48.50%,9.00%,"364,719",3.90%,6.80%,23.50%,24.60%,8.20%,18.60%,14.30%,89.30%,32.90%,,33.80%,19.70%,15.20%,5.40%,,"32,088","20,447","24,328","27,974","41,571","56,300",6.90%
2011,"Buffalo city, New York!!Total!!Estimate","35,249",18.20%,29.80%,40.30%,11.70%,"166,333",6.30%,13.00%,27.40%,21.00%,8.90%,12.50%,11.00%,80.70%,23.50%,,39.00%,25.50%,21.60%,10.90%,,"28,321","15,846","23,614","27,382","36,939","48,756",6.80%
2011,"New York city, New York!!Total!!Estimate","852,085",18.00%,23.10%,43.10%,15.90%,"5,617,654",10.60%,9.80%,24.90%,14.60%,6.00%,20.10%,14.00%,79.70%,34.10%,,32.00%,20.40%,15.00%,7.60%,,"36,533","18,671","26,530","34,614","51,492","70,285",8.70%
2011,"Charlotte city, North Carolina!!Total!!Estimate","72,645",17.50%,26.20%,42.90%,13.50%,"488,643",4.80%,6.20%,20.50%,20.80%,7.50%,28.40%,11.80%,88.90%,40.20%,,38.40%,18.50%,13.40%,3.40%,,"34,809","14,843","22,985","30,289","49,283","62,245",3.10%
2011,"Raleigh city, North Carolina!!Total!!Estimate","58,041",13.90%,15.90%,56.80%,13.40%,"258,969",6.30%,5.30%,16.00%,19.90%,7.10%,29.70%,15.80%,88.40%,45.50%,,32.60%,16.80%,8.70%,3.40%,,"36,976","17,497","26,092","30,845","46,046","63,676",2.90%
2011,"Cleveland city, Ohio!!Total!!Estimate","42,213",25.50%,33.00%,34.80%,6.70%,"263,852",5.80%,17.30%,33.50%,23.30%,5.50%,9.30%,5.40%,77.00%,14.70%,,43.10%,28.90%,19.20%,11.60%,,"24,803","15,554","22,335","24,867","37,095","52,293",5.00%
2011,"Columbus city, Ohio!!Total!!Estimate","106,682",13.70%,21.70%,50.60%,14.00%,"503,468",3.80%,8.40%,26.90%,23.10%,6.60%,20.70%,10.60%,87.90%,31.30%,,35.90%,18.00%,15.50%,7.10%,,"32,011","17,737","25,753","30,863","42,843","55,091",3.90%
2011,"Oklahoma City city, Oklahoma!!Total!!Estimate","58,026",21.20%,29.20%,40.10%,9.50%,"381,296",7.40%,7.90%,25.10%,24.80%,5.90%,19.20%,9.60%,84.70%,28.90%,,35.60%,17.60%,11.90%,5.60%,,"29,965","15,944","23,029","28,393","43,246","55,085",4.70%
2011,"Tulsa city, Oklahoma!!Total!!Estimate","42,772",21.70%,28.00%,39.90%,10.40%,"256,460",5.10%,8.40%,25.10%,23.80%,7.80%,20.00%,9.80%,86.50%,29.80%,,26.20%,21.00%,13.60%,5.30%,,"30,554","18,728","25,022","27,947","42,133","54,733",4.40%
2011,"Portland city, Oregon!!Total!!Estimate","54,686",13.60%,19.80%,52.10%,14.50%,"424,561",4.60%,5.20%,18.20%,22.60%,6.50%,25.40%,17.60%,90.20%,42.90%,,44.20%,21.90%,14.40%,8.80%,,"31,809","16,293","20,990","27,447","38,953","54,831",3.70%
2011,"Pittsburgh city, Pennsylvania!!Total!!Estimate","50,727",8.00%,21.40%,50.80%,19.80%,"205,585",2.30%,8.30%,32.20%,17.30%,6.70%,16.30%,16.70%,89.30%,33.10%,,40.00%,19.40%,16.30%,7.60%,,"31,412","15,415","24,978","27,833","36,596","52,032",5.70%
2011,"Arlington city, Texas!!Total!!Estimate","43,851",17.90%,23.50%,48.10%,10.50%,"226,100",8.70%,8.40%,23.00%,25.00%,6.80%,20.00%,8.00%,82.90%,28.00%,,28.50%,18.70%,12.40%,7.70%,,"32,388","21,130","29,410","32,612","49,159","51,238",4.30%
2011,"Austin city, Texas!!Total!!Estimate","112,958",11.10%,17.00%,54.70%,17.20%,"527,089",7.50%,6.50%,16.50%,18.70%,6.30%,27.70%,16.80%,86.00%,44.50%,,37.30%,17.70%,10.90%,4.70%,,"34,199","17,196","22,749","32,198","42,453","60,147",4.80%
2011,"Dallas city, Texas!!Total!!Estimate","127,702",27.70%,27.90%,34.80%,9.50%,"771,018",14.10%,13.20%,22.20%,17.60%,4.60%,17.60%,10.60%,72.70%,28.20%,,32.10%,23.90%,15.30%,5.30%,,"30,638","19,724","23,408","31,495","49,324","71,959",6.20%
2011,"El Paso city, Texas!!Total!!Estimate","76,912",15.60%,27.70%,49.80%,6.90%,"400,297",15.00%,8.60%,23.10%,23.40%,7.40%,14.90%,7.60%,76.40%,22.50%,,35.90%,19.80%,11.30%,5.70%,,"26,684","14,263","21,301","28,048","45,519","60,643",3.90%
2011,"Fort Worth city, Texas!!Total!!Estimate","74,187",21.40%,30.30%,41.70%,6.60%,"460,103",10.00%,10.30%,24.80%,23.40%,5.30%,18.20%,8.00%,79.70%,26.10%,,36.70%,17.90%,10.90%,5.10%,,"31,933","18,711","25,692","35,011","50,418","61,235",4.00%
2011,"Houston city, Texas!!Total!!Estimate","234,836",23.60%,27.90%,39.30%,9.20%,"1,359,670",14.20%,10.40%,22.60%,19.10%,4.90%,17.90%,10.80%,75.40%,28.70%,,32.60%,21.30%,14.80%,5.30%,,"30,826","17,292","23,800","30,783","51,991","70,837",5.20%
2011,"San Antonio city, Texas!!Total!!Estimate","153,585",18.30%,30.00%,44.20%,7.50%,"847,138",10.10%,9.60%,24.70%,23.90%,6.70%,16.40%,8.60%,80.40%,25.00%,,29.60%,17.40%,11.00%,6.10%,,"28,897","17,496","23,663","28,879","45,856","60,958",4.70%
2011,"Salt Lake City city, Utah!!Total!!Estimate","25,286",8.70%,22.00%,53.80%,15.50%,"119,453",6.30%,7.00%,18.50%,22.20%,6.10%,23.90%,16.10%,86.70%,39.90%,,37.80%,24.80%,20.30%,4.50%,,"31,103","18,836","22,920","23,253","37,233","57,797",3.40%
2011,"Seattle city, Washington!!Total!!Estimate","69,539",4.70%,13.10%,59.70%,22.60%,"452,654",3.50%,4.20%,11.70%,16.80%,7.60%,33.40%,22.80%,92.30%,56.20%,,38.10%,21.30%,12.90%,5.60%,,"42,271","20,719","26,647","31,309","50,374","60,974",3.70%
2011,"Milwaukee city, Wisconsin!!Total!!Estimate","79,318",18.30%,29.80%,43.90%,8.00%,"360,226",7.20%,11.80%,30.20%,22.70%,5.70%,15.00%,7.50%,81.10%,22.50%,,38.40%,22.10%,18.40%,8.20%,,"27,763","17,031","23,196","28,296","40,894","52,932",6.10%
